station_id,district,rows,rent_MAE,return_MAE,net_flow_MAE
ST-42,서대문구,720,0.5655183889200219,0.46860524245584867,0.6535460112009137
ST-1395,성북구,720,0.5294953055343871,0.43451915339964614,0.6527089320874402
ST-634,동대문구,720,0.4392709020533727,0.45761995864885036,0.6518583263638114
ST-441,중구,720,0.5231267403401025,0.4466057161657514,0.6518011713090494
ST-1179,강남구,720,0.4929952873180271,0.48301718452820996,0.6513828462870404
ST-2415,강남구,720,0.5532299168328979,0.35561534593334665,0.6511311660572178
ST-783,강남구,720,0.6011877418699666,0.33832726623311893,0.6490528784780464
ST-3232,송파구,720,0.509346851159727,0.4747787253670852,0.6479750962916103
ST-2882,강남구,720,0.5801164317815807,0.45732855814015716,0.6477606172450132
ST-2300,중랑구,720,0.5316518139514634,0.5502389292607193,0.6472251117780855
ST-3173,동대문구,720,0.48854442327424175,0.4390791380172117,0.647106045367946
ST-2401,강남구,720,0.49556070357636445,0.4533678759022086,0.64701260733566
ST-1616,노원구,720,0.4864240711742609,0.3645425908816795,0.6465885441057606
ST-1241,송파구,720,0.4863561315179689,0.41287284774366423,0.6446970815031101
ST-39,서대문구,720,0.5772035508977932,0.4451432578359183,0.6443723703601528
ST-1434,도봉구,720,0.4715219326870782,0.4655969401747181,0.6434484133804713
ST-1891,강남구,720,0.41507025499709677,0.5029316199815663,0.6419548111298211
ST-3106,동작구,720,0.41879279586882584,0.469126455702582,0.6415487756412356
ST-2909,노원구,720,0.5106156918989266,0.46285906107167096,0.6411440003114861
ST-2679,강남구,720,0.45411357126510415,0.44227634249218895,0.6407721060387734
ST-1309,서초구,720,0.592111136010816,0.19460271723886477,0.6405870137361557
ST-2101,도봉구,720,0.44574514085137146,0.4657239621746283,0.6403993937327805
ST-1934,금천구,720,0.44502990818082055,0.38296470618853445,0.6399756446297955
ST-217,영등포구,720,0.5573214487365047,0.46495506299708744,0.6381318476861284
ST-1433,중랑구,720,0.636648503518586,0.34369716414985135,0.6380797621501414
ST-1216,성북구,720,0.46857173747280406,0.37533991141618356,0.6374511831967671
ST-1799,종로구,720,0.42584397654154815,0.5002743130852154,0.6371163813482467
ST-2298,중랑구,720,0.4985772663775195,0.4682193785602693,0.6367436107272888
ST-1307,서초구,720,0.4372431352139526,0.4624912667752684,0.6357875959566607
ST-444,종로구,720,0.49771255631402617,0.504959984816622,0.6353232823241277
ST-2148,관악구,720,0.5163104183695881,0.45174377410289607,0.6350863416755271
ST-2516,서초구,720,0.49204496071486753,0.45219142886590674,0.634608063344854
ST-1695,강서구,720,0.4909916922952451,0.4564354648442727,0.6343088431950897
ST-562,성북구,720,0.5317115588577815,0.30486205514425735,0.6341699950325304
ST-1967,구로구,720,0.45729488441685395,0.48034926244590914,0.6335471705045178
ST-2893,금천구,720,0.5007931765101395,0.4038291174469481,0.6323605582934808
ST-995,은평구,720,0.5288762568449366,0.3438689524411358,0.6321123632058576
ST-745,양천구,720,0.5718880127749353,0.46456817549614626,0.6320019951798188
ST-804,강남구,720,0.5132485798029952,0.5066945559640387,0.6319933565990633
ST-720,양천구,720,0.5034158294439462,0.5292267063066194,0.6307131209589406
ST-224,영등포구,720,0.6029027939962615,0.1379117560391867,0.6296146549419034
ST-1327,성북구,720,0.4697646548938876,0.41111911774631277,0.6295180170542085
ST-1905,서초구,720,0.5644716116851882,0.5298397654174996,0.6280380104336349
ST-2361,동작구,720,0.4701767858072664,0.38543411338710915,0.6273426102934494
ST-1488,은평구,720,0.4808345780183722,0.4503178323125272,0.626113451447699
ST-3066,강남구,720,0.4993655288826718,0.4935675065135145,0.6258317560640554
ST-3076,은평구,720,0.5865745123605818,0.16533758165861046,0.6253323927756909
ST-794,양천구,720,0.44882078240413,0.4752240668028593,0.6251858383841337
ST-3096,강남구,720,0.4325303747568265,0.4494672486578319,0.6250589306940866
ST-2374,관악구,720,0.46276014735763055,0.4507790618920133,0.6241794537984515
ST-3298,서초구,720,0.4688870954515909,0.40325814903574825,0.6228253734932754
ST-3036,중랑구,720,0.5164703280347532,0.3155928491244432,0.6203934126392402
ST-2953,중랑구,720,0.5031804340742001,0.46778600957327343,0.620359174616503
ST-2643,송파구,720,0.5561745360704313,0.3646895258182694,0.6202853896196684
ST-3294,강남구,720,0.4584560277687164,0.42217152274546577,0.6186812564041937
ST-1648,금천구,720,0.47536826753323014,0.42459535219212596,0.6169763874018491
ST-1783,중구,720,0.5577390437584364,0.23274894303504898,0.6166670106980118
ST-2925,강남구,720,0.5033809808900704,0.4478381863437896,0.6158236720598994
ST-414,마포구,720,0.645195361364395,0.5437734987474366,0.6147071511234768
ST-2954,노원구,720,0.5068293198611268,0.3611433627232997,0.6140444225446015
ST-246,성동구,720,0.470043979054892,0.4687292123574955,0.6137484734843375
ST-2106,관악구,720,0.4883799227418575,0.3543640163471438,0.6133829740252976
ST-1177,강서구,720,0.5056061114767583,0.49807532513191694,0.6133798235830957
ST-3191,UNKNOWN,720,0.45693501640837,0.39106092627716854,0.6127028545588319
ST-2880,용산구,720,0.5364396553084716,0.30477725988353205,0.6124221156026801
ST-852,용산구,720,0.5061280590315732,0.3469052490744261,0.6121617722953501
ST-2841,강동구,720,0.4489850513793823,0.48423029139748563,0.6097019631365438
ST-1162,강서구,720,0.4503562016481046,0.4279268758275653,0.6094015355884393
ST-1735,도봉구,720,0.5526169881258863,0.3674092640527181,0.6089860383876472
ST-657,동대문구,720,0.43827171724983266,0.39875271856362426,0.6089548356701122
ST-2562,서초구,720,0.47655937128212184,0.32689206024913653,0.6086458180345358
ST-1356,동작구,720,0.4596856856440649,0.4726548599147706,0.6064958720689861
